IP ADDR            PORT                APPLICATION                                 CLASS  DPI/AppMap  IDLE TIME MS
10.71.114.119     52481                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        341032
35.190.88.7         443                APP_BUGSNAG                         APP_CLASS_WEB         DPI        211041
10.71.114.60      26907                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI         44639
20.223.237.241      443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI        467402
40.126.32.99        443              APP_MICROSOFT                         APP_CLASS_WEB         DPI        216972
108.138.36.127      443                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI        175710
10.71.113.250     59648                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        239334
193.56.114.34       443                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI          4617
172.18.160.195     7680                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        283848
10.71.113.250     60557                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        478588
2.17.157.134        443             APP_APPLE_NEWS                         APP_CLASS_WEB         DPI        141784
145.14.152.92     22591                    APP_FTP                APP_CLASS_FILE_SHARING         DPI        388622
10.71.114.60      19713                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        252841
142.250.179.179     443                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI        448284
10.15.2.10        53456                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        459560
145.14.152.92     46911                    APP_FTP                APP_CLASS_FILE_SHARING         DPI        317798
204.79.197.200      443                   APP_BING                         APP_CLASS_WEB         DPI        470001
10.71.114.60      53098                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI         46585
10.90.8.54            0                   APP_ICMP             APP_CLASS_NETWORK_SERVICE         DPI        361557
10.71.114.119     57847                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        200543
52.182.141.63       443              APP_MICROSOFT                         APP_CLASS_WEB         DPI         44322
52.97.219.162       443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI        517947
20.42.65.89         443              APP_MICROSOFT                         APP_CLASS_WEB         DPI        279663
52.113.206.194      443               APP_MS_TEAMS  APP_CLASS_INTERNET_INSTANT_MESSAGING         DPI        473329
10.71.114.60       7640                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        111900
10.71.112.196     59625                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        195006
52.97.135.82        443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI        167716
52.113.206.192      443               APP_MS_TEAMS  APP_CLASS_INTERNET_INSTANT_MESSAGING         DPI         29426
20.101.57.9         123                    APP_NTP             APP_CLASS_NETWORK_SERVICE         APM        507853
145.14.152.92     57791                    APP_FTP                APP_CLASS_FILE_SHARING         DPI        126978
52.114.133.157      443               APP_MS_TEAMS  APP_CLASS_INTERNET_INSTANT_MESSAGING         DPI        544638
10.71.114.60       3573                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        332311
142.250.179.163     443                APP_GSTATIC                         APP_CLASS_WEB         DPI         17388
10.71.114.60       4034                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        472344
20.150.95.196       443               APP_ONEDRIVE                         APP_CLASS_WEB         DPI        252897
3.248.67.143        443                 APP_AMAZON                         APP_CLASS_WEB         DPI        449670
142.251.36.42       443                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI          5735
10.20.70.249      60027                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        246320
40.101.121.18       443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI         49557
10.16.5.13           53                    APP_DNS             APP_CLASS_NETWORK_SERVICE         APM         86334
10.71.114.60      41237                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        463447
10.72.112.133     52311                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        407215
10.20.33.13       51447                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        280944
10.20.33.13       51445                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        281332
108.138.36.26       443              APP_GRAMMARLY                         APP_CLASS_WEB         DPI        493288
172.217.168.202     443             APP_GOOGLE_API                         APP_CLASS_WEB         DPI        305591
10.71.114.60      28368                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        298013
20.232.120.236      443              APP_OFFICE365      APP_CLASS_BUSINESS_COLLABORATION         DPI        224859
10.71.114.60       5385                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        403671
10.15.1.65        62894                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        206841
13.66.2.254         443                  APP_SKYPE      APP_CLASS_BUSINESS_COLLABORATION         DPI        472949
13.89.178.27        443              APP_MICROSOFT                         APP_CLASS_WEB         DPI        134502
192.168.200.10      389                   APP_LDAP              APP_CLASS_AUTHENTICATION         DPI           872
10.71.114.119     52621                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        339049
10.71.114.60      43579                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        406668
10.71.114.60      17686                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        102808
10.71.114.60       6216                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        108302
40.101.80.194       443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI        106801
52.178.79.163       443                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI        135444
54.149.74.220       443                 APP_AMAZON                         APP_CLASS_WEB         DPI        248396
10.71.114.60      31141                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        147071
157.240.20.15       443               APP_FACEBOOK           APP_CLASS_SOCIAL_NETWORKING         DPI        328416
10.20.70.60       53299                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        224048
10.71.114.60      10664                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        538766
10.20.33.13       51444                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        281460
147.161.249.76     7680                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI          5244
10.20.49.86       50781                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        424695
40.99.205.2         443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI         65667
18.196.241.73       443                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI        243425
145.14.152.92     43967                    APP_FTP                APP_CLASS_FILE_SHARING         DPI        247220
10.71.114.60      20054                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        232335
10.71.114.119     57831                  APP_MSRPC             APP_CLASS_NETWORK_SERVICE         DPI        200704
17.253.73.203       443                  APP_APPLE                         APP_CLASS_WEB         DPI        164096
40.101.124.194      443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI        529898
10.71.114.60      12163                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        577416
52.111.209.1        443              APP_OFFICE365      APP_CLASS_BUSINESS_COLLABORATION         APM         96849
54.192.231.10       443                 APP_TINDER                         APP_CLASS_WEB         DPI        203225
10.71.114.60      44617                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        286668
20.150.95.132       443               APP_ONEDRIVE                         APP_CLASS_WEB         DPI        453092
10.71.114.60       5725                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        320477
10.1.73.53         7680                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        122423
10.10.1.3            53                    APP_DNS             APP_CLASS_NETWORK_SERVICE         APM        156693
10.71.114.60      27379                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        558250
18.66.192.41        443                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI          1310
10.71.114.124      8531                    APP_SSL           APP_CLASS_TUNNELING_AND_VPN         DPI        260654
40.99.204.194       443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI        224826
10.71.114.60      28099                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        318243
20.42.73.24         443              APP_MICROSOFT                         APP_CLASS_WEB         DPI        220127
10.34.230.11         53                    APP_DNS             APP_CLASS_NETWORK_SERVICE         APM        166694
10.71.114.119     59444                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        593581
13.107.21.239       443              APP_MICROSOFT                         APP_CLASS_WEB         DPI        472688
10.71.114.60      43525                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        282692
10.134.178.8       7680                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        485161
10.20.36.194      58427                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI          6530
10.71.114.60      41487                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        582705
