Element   |                     Dest  |            Dest  |  Subpath  |  Mode  |  LATENCY  LATENCY  LATENCY  LATENCY  |  JITTER  JITTER  JITTER  JITTER  |  LOSS   LOSS   LOSS   LOSS
Name      |                     Name  |              Ip  |   COS ID  |  Mode  |       ms    VOICE    VIDEO    TRANS  |      ms   VOICE   VIDEO   TRANS  |   PCT  VOICE  VIDEO  TRANS
GE3       |                      N/A  |             N/A  |      N/A  |    TX  |       11    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE3       |                      N/A  |             N/A  |      N/A  |    RX  |       12    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE3       |  SEASAAMALSE02PVCE01_EHA  |  213.212.40.117  |       -1  |    TX  |       17    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE3       |  SEASAAMALSE02PVCE01_EHA  |  213.212.40.117  |       -1  |    RX  |       18    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE3       |               vcg35-fra3  |  136.144.103.35  |       -1  |    TX  |       11    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE3       |               vcg35-fra3  |  136.144.103.35  |       -1  |    RX  |       12    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE3       |            DEDUS_CLUSTER  |  141.81.168.205  |       -1  |    TX  |       26   yellow   yellow    green  |       0   green   green   green  |   0.0  green  green  green
GE3       |            DEDUS_CLUSTER  |  141.81.168.205  |       -1  |    RX  |       26   yellow   yellow    green  |       0   green   green   green  |   0.0  green  green  green
GE3       |            DEMEE_CLUSTER  |  141.81.167.206  |       -1  |    TX  |       25    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE3       |            DEMEE_CLUSTER  |  141.81.167.206  |       -1  |    RX  |       27   yellow   yellow    green  |       0   green   green   green  |   0.0  green  green  green
GE3       |               vcg42-mxp1  |  136.144.105.42  |       -1  |    TX  |       17    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE3       |               vcg42-mxp1  |  136.144.105.42  |       -1  |    RX  |       20    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE3       |               vcg32-cdg3  |   136.144.97.32  |       -1  |    TX  |       18    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE3       |               vcg32-cdg3  |   136.144.97.32  |       -1  |    RX  |       19    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE3       |  FRASAASURFR01PVCE01_EHA  |  81.252.217.125  |       -1  |    TX  |        0    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE3       |  FRASAASURFR01PVCE01_EHA  |  81.252.217.125  |       -1  |    RX  |        0    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |                      N/A  |             N/A  |      N/A  |    TX  |       12    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |                      N/A  |             N/A  |      N/A  |    RX  |       18    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |  SEASAAMALSE02PVCE01_EHA  |     10.255.64.2  |       -1  |    TX  |       28   yellow   yellow    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |  SEASAAMALSE02PVCE01_EHA  |     10.255.64.2  |       -1  |    RX  |       29   yellow   yellow    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |            DEMEE_CLUSTER  |     10.71.70.19  |       -1  |    TX  |       15    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |            DEMEE_CLUSTER  |     10.71.70.19  |       -1  |    RX  |       20    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |            DEDUS_CLUSTER  |     10.72.70.18  |       -1  |    TX  |       14    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |            DEDUS_CLUSTER  |     10.72.70.18  |       -1  |    RX  |       19    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |            DEMEE_CLUSTER  |      10.71.70.3  |       -1  |    TX  |       14    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |            DEMEE_CLUSTER  |      10.71.70.3  |       -1  |    RX  |       19    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |            DEDUS_CLUSTER  |      10.72.70.2  |       -1  |    TX  |       12    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |            DEDUS_CLUSTER  |      10.72.70.2  |       -1  |    RX  |       21    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |               vcg35-fra3  |  136.144.103.35  |       -1  |    TX  |       18    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |               vcg35-fra3  |  136.144.103.35  |       -1  |    RX  |       19    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |               vcg42-mxp1  |  136.144.105.42  |       -1  |    TX  |       21    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |               vcg42-mxp1  |  136.144.105.42  |       -1  |    RX  |       38   yellow   yellow    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |               vcg32-cdg3  |   136.144.97.32  |       -1  |    TX  |       22    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |               vcg32-cdg3  |   136.144.97.32  |       -1  |    RX  |       22    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |  FRASAASURFR01PVCE01_EHA  |    10.255.64.22  |       -1  |    TX  |        0    green    green    green  |       0   green   green   green  |   0.0  green  green  green
GE4       |  FRASAASURFR01PVCE01_EHA  |    10.255.64.22  |       -1  |    RX  |        0    green    green    green  |       0   green   green   green  |   0.0  green  green  green
* indicates state pending transition
