src_ip                  dst_ip  refcnt
141.81.168.205   85.128.72.178       1
136.144.105.42   85.128.72.178       1
81.252.217.125   85.128.72.178       1
10.71.70.19        10.255.64.6       1
136.144.103.35   85.128.72.178       1
10.71.70.3         10.255.64.6       1
136.144.97.32      10.255.64.6       1
90.115.102.169   85.128.72.178       1
213.212.40.117   85.128.72.178       1
141.81.167.206   85.128.72.178       1
10.255.80.6        10.255.64.6       1
165.225.26.44    85.128.72.178       1
136.144.103.35     10.255.64.6       1
10.255.80.10       10.255.64.6       1
24.248.191.197   85.128.72.178       1
10.255.64.22       10.255.64.6       1
10.255.64.18       10.255.64.6       1
107.167.192.79   85.128.72.178       1
10.72.70.2         10.255.64.6       1
10.255.64.2        10.255.64.6       1
136.144.97.32    85.128.72.178       1
136.144.105.42     10.255.64.6       1
165.225.206.48   85.128.72.178       1
10.72.70.18        10.255.64.6       1
