name                         tid  qlimit    sleeping    wokenup        enq        deq  drops  qlength  wmark
vc_queue_link_select       16613    4096   342511983  342235422  403252099  403252099      0        0    521
vc_queue_link_sch          16614    4096   421585116  334531473  408509340  408509340      0        0    463
vc_queue_link_cos          16615    4096    54463292          0          0          0      0        0      0
vc_queue_link_encrypt_0    16616    4096  8820216752  216353971  234832202  234832202      0        0    180
vc_queue_link_encrypt_1    16617    4096  8762372302   82378506   88055584   88055585      0        0    734
vc_queue_net_sch           17115    4096   408792768  340778729  407700091  407700202      0        0   1417
vc_queue_vcmp_init         17197    4096       91334      91330      91412      91412      0        0      2
vc_queue_vcmp_ctrl_0       17198   10240    85655161   85654064   91683194   91683194      0        0    169
vc_queue_vcmp_ctrl_1       17199   10240    45692923   45692087   50521217   50521217      0        0    217
vc_queue_vcmp_data_0       17200    4096   218067874  218037670  251202665  251202672      0        0    152
vc_queue_vcmp_data_1       17201    4096    83226431   83213357   93347017   93347028      0        0    224
vc_queue_ike               17202    4096    54722408     424567     450557     450557      0        0     15
vc_queue_mc_bh             17203    4096           1          0          0          0      0        0      0
vc_queue_gre               17204    4096           1          0          0          0      0        0      0
vc_queue_esp_0             17205    4096  8910293374  324385116  475247766  475247766      0        0    111
vc_queue_esp_1             17206    4096  8751285517   49979354   63047736   63047736      0        0    109
vc_queue_ip_common_bh_0    17207   16384   319052070  317964233  441302852  441303218      0        0    837
vc_queue_ip_common_bh_1    17208   16384   363983118  362740853  511022204  511022610      0        0    884
vc_queue_ipv4_bh_tcp_syn   17209    4096    33912019   33895359   36163676   36163701      0        0    301
vc_queue_async_fc          17212    4096    40480692   40470903   43591270   43591288      0        0    438
