Child SA = 36
==============================================================================================================================================================================================
Index    Ref  Cookie  SpdId   IkeSaid     Flags                 Dir       Spi  PeerPort       Auth             Encr                                                             Tunnel // Traffic     Pkts  Drops  Interface         Secs
0       0002  0x109f   009c  c5181a1b  00100019  outbound initiator  e4fe9e4f    2426/*       null  aes-128-gcm-128                                                  // 10.255.64.6 > 10.72.70.18     5261      0        GE4   5142/28800
1       0002  0x109f   009b  c5181a1b  0010001d   inbound initiator  8ce5d711    2426/*       null  aes-128-gcm-128                                            // 10.255.64.6 < 10.72.70.18[2426]     8561      0        GE4   5142/28800
2       0002   0x2cb   0097  c518088d  00100015   inbound responder  ea10d6c6    2426/*       null  aes-128-gcm-128                                       // 85.128.72.178 < 213.212.40.117[2426]    18797      0        GE3  16029/28800
3       0002    0x12   0024  c5183323  00000019  outbound initiator  72881970      4500  sha1-hmac             null                      85.128.72.178 >> 165.225.206.48 // 0.0.0.0/0 > 0.0.0.0/0   128462      0        GE3    206/28800
4       0002  0x109b   00cc  c5181ab4  00100019  outbound initiator  d239aad3    2426/*       null  aes-128-gcm-128                                             // 85.128.72.178 > 136.144.103.35    58641      0        GE3  13051/28800
5       0002  0x109d   009e  c5181a1c  00100019  outbound initiator  c60a9245    2426/*       null  aes-128-gcm-128                                                  // 10.255.64.6 > 10.71.70.19     6212      0        GE4   5140/28800
6       0002  0x109d   009d  c5181a1c  0010001d   inbound initiator  96db8364    2426/*       null  aes-128-gcm-128                                            // 10.255.64.6 < 10.71.70.19[2426]     7675      0        GE4   5140/28800
7       0002    0x12   0023  c5183323  0000001d   inbound initiator  ee9b829c      4500  sha1-hmac             null  85.128.72.178[4500] << 165.225.206.48 // 0.0.0.0/0[20010] < 0.0.0.0/0[20010]   133145      0        GE3    206/28800
8       0002   0x2cb   0098  c518088d  00100011  outbound responder  f0d1dc4a    2426/*       null  aes-128-gcm-128                                             // 85.128.72.178 > 213.212.40.117    49147      0        GE3  16029/28800
9       0002  0x109b   00cb  c5181ab4  0010001d   inbound initiator  e8708bac    2426/*       null  aes-128-gcm-128                                       // 85.128.72.178 < 136.144.103.35[2426]    15454      0        GE3  13051/28800
12      0002  0x2fe3   00f4  c51835b7  00100019  outbound initiator  b88e26f8    2426/*       null  aes-128-gcm-128                                               // 10.255.64.6 > 136.144.105.42      769      0        GE4   1666/28800
