TYPE            OSIP            ODIP  OSPORT  ODPORT  OPROTO           MSIP           MDIP  MSPORT  MDPORT  MPROTO  SEGID  REFCNT
DNAT   10.239.31.249   165.225.26.44   42213      80     TCP  10.239.31.249  165.225.26.40   42213      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   45725      80     TCP    192.168.0.1  165.225.26.40   45725      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   57821      80     TCP  10.239.31.249  165.225.26.40   57821      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   39997      80     TCP    192.168.0.1  165.225.26.40   39997      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   46445      80     TCP  10.239.31.249  165.225.26.40   46445      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   34927      80     TCP    192.168.0.1  165.225.26.40   34927      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   57475      80     TCP  10.239.31.249  165.225.26.40   57475      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   56617      80     TCP    192.168.0.1  165.225.26.40   56617      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   58599      80     TCP  10.239.31.249  165.225.26.40   58599      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   46957      80     TCP    192.168.0.1  165.225.26.40   46957      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   35883      80     TCP  10.239.31.249  165.225.26.40   35883      80     TCP      0       2
DNAT   10.239.31.249  165.225.206.48   47019      80     TCP  10.239.31.249  165.225.26.40   47019      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   36749      80     TCP  10.239.31.249  165.225.26.40   36749      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   33659      80     TCP  10.239.31.249  165.225.26.40   33659      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   46215      80     TCP  10.239.31.249  165.225.26.40   46215      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   54597      80     TCP    192.168.0.1  165.225.26.40   54597      80     TCP      1       2
DNAT     192.168.0.1  165.225.206.48   56075      80     TCP    192.168.0.1  165.225.26.40   56075      80     TCP      1       2
DNAT     192.168.0.1   165.225.26.44   42233      80     TCP    192.168.0.1  165.225.26.40   42233      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   60579      80     TCP  10.239.31.249  165.225.26.40   60579      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   44667      80     TCP    192.168.0.1  165.225.26.40   44667      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   46787      80     TCP  10.239.31.249  165.225.26.40   46787      80     TCP      0       2
DNAT   10.239.31.249  165.225.206.48   42745      80     TCP  10.239.31.249  165.225.26.40   42745      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   53401      80     TCP    192.168.0.1  165.225.26.40   53401      80     TCP      1       2
DNAT     192.168.0.1  165.225.206.48   52321      80     TCP    192.168.0.1  165.225.26.40   52321      80     TCP      1       2
DNAT     192.168.0.1  165.225.206.48   58307      80     TCP    192.168.0.1  165.225.26.40   58307      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   38101      80     TCP  10.239.31.249  165.225.26.40   38101      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   36253      80     TCP  10.239.31.249  165.225.26.40   36253      80     TCP      0       2
DNAT   10.239.31.249  165.225.206.48   43143      80     TCP  10.239.31.249  165.225.26.40   43143      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   37905      80     TCP    192.168.0.1  165.225.26.40   37905      80     TCP      1       2
DNAT     192.168.0.1   165.225.26.44   51611      80     TCP    192.168.0.1  165.225.26.40   51611      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   59217      80     TCP  10.239.31.249  165.225.26.40   59217      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   48099      80     TCP    192.168.0.1  165.225.26.40   48099      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   42407      80     TCP  10.239.31.249  165.225.26.40   42407      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   38763      80     TCP    192.168.0.1  165.225.26.40   38763      80     TCP      1       2
DNAT     192.168.0.1  165.225.206.48   51947      80     TCP    192.168.0.1  165.225.26.40   51947      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   49619      80     TCP  10.239.31.249  165.225.26.40   49619      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   51915      80     TCP    192.168.0.1  165.225.26.40   51915      80     TCP      1       2
DNAT     192.168.0.1  165.225.206.48   36533      80     TCP    192.168.0.1  165.225.26.40   36533      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   37803      80     TCP  10.239.31.249  165.225.26.40   37803      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   47533      80     TCP    192.168.0.1  165.225.26.40   47533      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   33475      80     TCP  10.239.31.249  165.225.26.40   33475      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   59119      80     TCP  10.239.31.249  165.225.26.40   59119      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   60557      80     TCP  10.239.31.249  165.225.26.40   60557      80     TCP      0       2
DNAT   10.239.31.249  165.225.206.48   37335      80     TCP  10.239.31.249  165.225.26.40   37335      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   38095      80     TCP    192.168.0.1  165.225.26.40   38095      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   56309      80     TCP  10.239.31.249  165.225.26.40   56309      80     TCP      0       2
DNAT   10.239.31.249  165.225.206.48   54023      80     TCP  10.239.31.249  165.225.26.40   54023      80     TCP      0       2
DNAT   10.239.31.249  165.225.206.48   49205      80     TCP  10.239.31.249  165.225.26.40   49205      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   37181      80     TCP    192.168.0.1  165.225.26.40   37181      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   47983      80     TCP  10.239.31.249  165.225.26.40   47983      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   37619      80     TCP    192.168.0.1  165.225.26.40   37619      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   47765      80     TCP  10.239.31.249  165.225.26.40   47765      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   56249      80     TCP    192.168.0.1  165.225.26.40   56249      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   51339      80     TCP  10.239.31.249  165.225.26.40   51339      80     TCP      0       2
DNAT   10.239.31.249  165.225.206.48   45205      80     TCP  10.239.31.249  165.225.26.40   45205      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   49349      80     TCP    192.168.0.1  165.225.26.40   49349      80     TCP      1       2
DNAT     192.168.0.1  165.225.206.48   46171      80     TCP    192.168.0.1  165.225.26.40   46171      80     TCP      1       2
DNAT     192.168.0.1  165.225.206.48   35497      80     TCP    192.168.0.1  165.225.26.40   35497      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   38453      80     TCP  10.239.31.249  165.225.26.40   38453      80     TCP      0       2
DNAT   10.239.31.249  165.225.206.48   46463      80     TCP  10.239.31.249  165.225.26.40   46463      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   49611      80     TCP    192.168.0.1  165.225.26.40   49611      80     TCP      1       2
DNAT     192.168.0.1  165.225.206.48   51487      80     TCP    192.168.0.1  165.225.26.40   51487      80     TCP      1       2
DNAT     192.168.0.1   165.225.26.44   50005      80     TCP    192.168.0.1  165.225.26.40   50005      80     TCP      1       2
DNAT     192.168.0.1   165.225.26.44   32957      80     TCP    192.168.0.1  165.225.26.40   32957      80     TCP      1       2
DNAT     192.168.0.1   165.225.26.44   44411      80     TCP    192.168.0.1  165.225.26.40   44411      80     TCP      1       2
DNAT     192.168.0.1   165.225.26.44   54855      80     TCP    192.168.0.1  165.225.26.40   54855      80     TCP      1       2
DNAT     192.168.0.1  165.225.206.48   51311      80     TCP    192.168.0.1  165.225.26.40   51311      80     TCP      1       2
DNAT     192.168.0.1  165.225.206.48   36909      80     TCP    192.168.0.1  165.225.26.40   36909      80     TCP      1       2
DNAT     192.168.0.1   165.225.26.44   49201      80     TCP    192.168.0.1  165.225.26.40   49201      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   59465      80     TCP  10.239.31.249  165.225.26.40   59465      80     TCP      0       2
DNAT   10.239.31.249  165.225.206.48   51191      80     TCP  10.239.31.249  165.225.26.40   51191      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   40257      80     TCP    192.168.0.1  165.225.26.40   40257      80     TCP      1       2
DNAT     192.168.0.1   165.225.26.44   52207      80     TCP    192.168.0.1  165.225.26.40   52207      80     TCP      1       2
DNAT     192.168.0.1   165.225.26.44   36515      80     TCP    192.168.0.1  165.225.26.40   36515      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   53335      80     TCP  10.239.31.249  165.225.26.40   53335      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   55691      80     TCP    192.168.0.1  165.225.26.40   55691      80     TCP      1       2
DNAT     192.168.0.1   165.225.26.44   57791      80     TCP    192.168.0.1  165.225.26.40   57791      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   48355      80     TCP  10.239.31.249  165.225.26.40   48355      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   50035      80     TCP  10.239.31.249  165.225.26.40   50035      80     TCP      0       2
DNAT   10.239.31.249  165.225.206.48   39259      80     TCP  10.239.31.249  165.225.26.40   39259      80     TCP      0       2
DNAT   10.239.31.249  165.225.206.48   59611      80     TCP  10.239.31.249  165.225.26.40   59611      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   34213      80     TCP  10.239.31.249  165.225.26.40   34213      80     TCP      0       2
DNAT   10.239.31.249  165.225.206.48   35921      80     TCP  10.239.31.249  165.225.26.40   35921      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   58251      80     TCP  10.239.31.249  165.225.26.40   58251      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   46823      80     TCP    192.168.0.1  165.225.26.40   46823      80     TCP      1       2
DNAT     192.168.0.1  165.225.206.48   42185      80     TCP    192.168.0.1  165.225.26.40   42185      80     TCP      1       2
DNAT     192.168.0.1  165.225.206.48   53613      80     TCP    192.168.0.1  165.225.26.40   53613      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   60253      80     TCP  10.239.31.249  165.225.26.40   60253      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   58663      80     TCP  10.239.31.249  165.225.26.40   58663      80     TCP      0       2
DNAT   10.239.31.249  165.225.206.48   39491      80     TCP  10.239.31.249  165.225.26.40   39491      80     TCP      0       2
DNAT   10.239.31.249  165.225.206.48   51791      80     TCP  10.239.31.249  165.225.26.40   51791      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   43155      80     TCP    192.168.0.1  165.225.26.40   43155      80     TCP      1       2
DNAT     192.168.0.1  165.225.206.48   43125      80     TCP    192.168.0.1  165.225.26.40   43125      80     TCP      1       2
DNAT     192.168.0.1  165.225.206.48   38009      80     TCP    192.168.0.1  165.225.26.40   38009      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   48581      80     TCP  10.239.31.249  165.225.26.40   48581      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   40063      80     TCP  10.239.31.249  165.225.26.40   40063      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   52055      80     TCP    192.168.0.1  165.225.26.40   52055      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   55289      80     TCP  10.239.31.249  165.225.26.40   55289      80     TCP      0       2
DNAT   10.239.31.249  165.225.206.48   47069      80     TCP  10.239.31.249  165.225.26.40   47069      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   46319      80     TCP    192.168.0.1  165.225.26.40   46319      80     TCP      1       2
DNAT     192.168.0.1   165.225.26.44   46689      80     TCP    192.168.0.1  165.225.26.40   46689      80     TCP      1       2
DNAT     192.168.0.1  165.225.206.48   52407      80     TCP    192.168.0.1  165.225.26.40   52407      80     TCP      1       2
DNAT     192.168.0.1  165.225.206.48   55811      80     TCP    192.168.0.1  165.225.26.40   55811      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   60107      80     TCP  10.239.31.249  165.225.26.40   60107      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   35507      80     TCP  10.239.31.249  165.225.26.40   35507      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   47783      80     TCP  10.239.31.249  165.225.26.40   47783      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   44375      80     TCP    192.168.0.1  165.225.26.40   44375      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   41807      80     TCP  10.239.31.249  165.225.26.40   41807      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   34077      80     TCP    192.168.0.1  165.225.26.40   34077      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   35145      80     TCP  10.239.31.249  165.225.26.40   35145      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   37123      80     TCP  10.239.31.249  165.225.26.40   37123      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   41235      80     TCP    192.168.0.1  165.225.26.40   41235      80     TCP      1       2
DNAT   10.239.31.249  165.225.206.48   54471      80     TCP  10.239.31.249  165.225.26.40   54471      80     TCP      0       2
DNAT     192.168.0.1  165.225.206.48   46851      80     TCP    192.168.0.1  165.225.26.40   46851      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   51315      80     TCP  10.239.31.249  165.225.26.40   51315      80     TCP      0       2
DNAT     192.168.0.1   165.225.26.44   59689      80     TCP    192.168.0.1  165.225.26.40   59689      80     TCP      1       2
DNAT   10.239.31.249   165.225.26.44   43081      80     TCP  10.239.31.249  165.225.26.40   43081      80     TCP      0       2
DNAT   10.239.31.249   165.225.26.44   45079      80     TCP  10.239.31.249  165.225.26.40   45079      80     TCP      0       2
