FID        SECURE  SEGID     FDSN  MAX_RECV_FDSN  FDSN_READ  LAST_LATE_FDSN         SRC_IP          DEST_IP  SRC_PORT  DEST_PORT  PROTO  DSCP  PRIORITY                      APPLICATION                                 APP_CLASS   TRAFFIC-TYPE                                 ROUTE  ROUTE-POL     LINK-POL               BIZ-POL      NH-ID    LINK-ID               FLAGS1  VERSION    SRC            ADDR              SR              DR  FLOW AGE MS  IDLE TIME MS  CBH-FLOW  DROPS
43226914        0      0        0              0          0               0   10.239.30.23  147.161.249.114     56770       7680      6     0    normal                     APP_TCP(205)               APP_CLASS_OTHER_TCP_UDP(21)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-    0x40a0000a000000L        1  local  0x7f93f8031a50  0x7f948e584170  0x7f948e5845c0        68197         68181         0      0
43224922        1      0        1              0          0               0  10.239.30.157     10.104.64.99     35390        389     17     0    normal                    APP_LDAP(100)               APP_CLASS_AUTHENTICATION(3)  transactional               Branch to Branch Direct    gateway  loadbalance        Authentication  68745f57-        N/A     0x8002800000001L        1  local  0x7f94a4040ac0  0x7f948e584170  0x7f948e5ce7b0       273627        273627         0      0
43225480        0      0        0              0          0               0  10.239.30.155    52.97.201.114     63003        443      6     0    normal                APP_OUTLOOK(1478)         APP_CLASS_BUSINESS_APPLICATION(4)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-    0x4080000a000000L        2  local  0x7f94a41da010  0x7f948e584170  0x7f948e5845c0       205339        205125         0      0
43226347        0      1        0              0          0               0   192.168.0.18    54.192.231.10     51009        443      6     0    normal                 APP_TINDER(2971)                         APP_CLASS_WEB(19)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-    0x4080000a000000L        1  local  0x7f94a414dd80  0x7f948e5bc830  0x7f948e584450       126792        119831         0      0
43151666        1      0      381            422        422               0  10.239.30.155      10.20.32.23     65352      62870      6     0    normal                   APP_DCERPC(26)             APP_CLASS_NETWORK_SERVICE(13)  transactional               Branch to Branch Direct    gateway  loadbalance          User Default  68745f57-        N/A    0x48002800000000L        2   peer  0x7f940d6bdab0  0x7f948e584170  0x7f948e5ce7b0     10752519         91647         0      0
43226945        0      0        0              0          0               0  10.239.31.178     142.251.36.3     53436        443     17     0    normal                     APP_UDP(216)               APP_CLASS_OTHER_TCP_UDP(21)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-           0xa000000L        1  local  0x7f94a42a6800  0x7f948e584170  0x7f948e5845c0        61577         61514         0      0
43223106        0      0        0              0          0               0   10.239.30.25    162.252.72.91     57140        443      6     0    normal             APP_LIVEPERSON(2721)                         APP_CLASS_WEB(19)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-    0x4000000a000000L        1  local  0x7f94a428f2f0  0x7f948e584170  0x7f948e5842e0       481110           473         0      0
43139800        0      0        0              0          0               0  10.239.30.115     20.54.36.229     49408        443      6     0    normal              APP_MICROSOFT(2821)                         APP_CLASS_WEB(19)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-    0x4000000a000000L        2  local  0x7f94380583e0  0x7f948e584170  0x7f948e5842e0     12460873          9332         0      0
43226976        1      0       14             17         17               0  10.239.30.155     10.20.36.194     65352      58061      6     0    normal                   APP_DCERPC(26)             APP_CLASS_NETWORK_SERVICE(13)  transactional               Branch to Branch Direct    gateway  loadbalance          User Default  68745f57-        N/A    0x48802800000000L        2   peer  0x7f94a411c6e0  0x7f948e584170  0x7f948e5ce7b0        57489         28352         0      0
43224742        1      0        1              1          1               0  10.239.30.152      10.71.50.53     59662         53     17     0    normal                      APP_DNS(32)             APP_CLASS_NETWORK_SERVICE(13)  transactional               Branch to Branch Direct    gateway  loadbalance       Network Service  68745f57-        N/A     0x8002800000000L        1  local  0x7f941d8dda60  0x7f948e584170  0x7f948e5ce080       290309        290264         0      0
43184777        0      0        0              0          0               0   10.239.30.21    52.112.120.21     55919        443      6     0    normal               APP_MS_TEAMS(3374)  APP_CLASS_INTERNET_INSTANT_MESSAGING(10)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-    0x4000000a000000L        1  local  0x7f94a40712d0  0x7f948e584170  0x7f948e5845c0      5542314         25052         0      0
43225158        0      0       11              9          9               0  10.239.31.249   35.157.214.226     42321        443      6     0      high         APP_VELOCLOUD_MGMT(4095)                   APP_CLASS_VELOCLOUD(20)  transactional                     Cloud via Gateway    gateway  loadbalance  VeloCloud Management  157f9142-        N/A      0x800100000000L        1  local  0x7f94a467f490  0x7f948e585700  0x7f948e5842e0       243985        243832         0      0
43227420        1      0        1              1          1               0  10.239.30.152     10.16.65.182     58577         53     17     0    normal                      APP_DNS(32)             APP_CLASS_NETWORK_SERVICE(13)  transactional              Branch to Branch via Hub    gateway  loadbalance       Network Service  68745f57-        N/A     0x9002800000000L        1  local  0x7f94a40c8b10  0x7f948e584170  0x7f948e5d05e0         2277          2221         0      0
43225278        1      0        5              5          5               0  10.239.30.152     10.71.112.84     53569         88      6     0    normal                     APP_KRB5(97)               APP_CLASS_AUTHENTICATION(3)  transactional               Branch to Branch Direct    gateway  loadbalance        Authentication  68745f57-        N/A    0x48802800000000L        1  local  0x7f942f12cd50  0x7f948e584170  0x7f948e5ce080       225034        224917         0      0
43225562        1      0        1              1          1               0  10.239.30.152      10.71.50.53     59112         53     17     0    normal                      APP_DNS(32)             APP_CLASS_NETWORK_SERVICE(13)  transactional               Branch to Branch Direct    gateway  loadbalance       Network Service  68745f57-        N/A     0x8002800000000L        1  local  0x7f94a4062640  0x7f948e584170  0x7f948e5ce080       195589        195529         0      0
43225315        1      0        5              5          5               0  10.239.30.152     10.71.112.84     53588         88      6     0    normal                     APP_KRB5(97)               APP_CLASS_AUTHENTICATION(3)  transactional               Branch to Branch Direct    gateway  loadbalance        Authentication  68745f57-        N/A    0x48802800000000L        1  local  0x7f94a52d3320  0x7f948e584170  0x7f948e5ce080       222794        222679         0      0
43224694        0      0        0              0          0               0  10.239.31.178     142.251.36.3     62026        443     17     0    normal                     APP_UDP(216)               APP_CLASS_OTHER_TCP_UDP(21)  transactional  Direct to Cloud via Security Service     dipsec   bw_balance              Internet        N/A  c9e3c5a5-           0xa000000L        1  local  0x7f942ff9eae0  0x7f948e584170  0x7f948e5845c0       294512        294449         0      0
43213352        1      0       23             28         28               0  10.239.30.155      10.20.37.27     65352      28290      6     0    normal                     APP_TCP(205)               APP_CLASS_OTHER_TCP_UDP(21)  transactional               Branch to Branch Direct    gateway  loadbalance          User Default  68745f57-        N/A    0x48002800000000L        1   peer  0x7f94a409df60  0x7f948e584170  0x7f948e5ce7b0      1670969        226885         0      0
