SRC_IP                  DEST_IP  SRC_PORT  DEST_PORT  PROTO  DSCP                                                   APP    TCP_STATE      RULE  BYTES_SENT  BYTES_RCVD  DURATION_SECS
10.239.30.23    147.161.249.114     56770       7680      6     0                                                   tcp       CLOSED  AllowAny         213          92              0
10.239.30.157      10.104.64.99     35390        389     17     0                                                  ldap          N/A  AllowAny         111           0              0
10.239.30.155     52.97.201.114     63003        443      6     0                                               outlook      CLOSING  AllowAny        5055        2418              0
192.168.0.18      54.192.231.10     51009        443      6     0                                                Tinder      CLOSING  AllowAny        2216        7434              6
10.20.32.23       10.239.30.155     62870      65352      6     0                                                dcerpc  ESTABLISHED  AllowAny      220571      236160          10660
10.239.31.178      142.251.36.3     53436        443     17     0                                                   udp          N/A  AllowAny        3405        3164              0
10.239.30.25      162.252.72.91     57140        443      6     0                                            LivePerson  ESTABLISHED  AllowAny      302769      300180            485
10.239.30.115      20.54.36.229     49408        443      6     0                                             Microsoft  ESTABLISHED  AllowAny       26503       26711          12451
10.20.36.194      10.239.30.155     58061      65352      6     0                                                dcerpc       CLOSED  AllowAny        1870        5495             29
10.239.30.152       10.71.50.53     59662         53     17     0                                                   dns          N/A  AllowAny          73         148              0
10.239.30.21      52.112.120.21     55919        443      6     0                                       Microsoft Teams  ESTABLISHED  AllowAny       85696      319066           5544
10.239.30.152      10.16.65.182     58577         53     17     0                                                   dns          N/A  AllowAny         124         201              0
10.239.30.152      10.71.112.84     53569         88      6     0                                                  krb5       CLOSED  AllowAny         558        2772              0
10.239.30.152       10.71.50.53     59112         53     17     0                                                   dns          N/A  AllowAny          97         200              0
10.239.30.152      10.71.112.84     53588         88      6     0                                                  krb5       CLOSED  AllowAny        2662         309              0
10.239.31.178      142.251.36.3     62026        443     17     0                                                   udp          N/A  AllowAny        2296        3179              0
10.20.37.27       10.239.30.155     28290      65352      6     0                                                   tcp  ESTABLISHED  AllowAny        4097        7693           1444
192.168.0.196           8.8.8.8     60056        443      6     0                                                   dns       CLOSED  AllowAny        1504        1270            210
10.239.30.24      34.209.16.253     61287        443      6     0                                               mozilla      CLOSING  AllowAny        1894        5550             60
10.239.30.24       13.107.6.158     61085        443      6     0                                             Microsoft      CLOSING  AllowAny        8344        9233             63
