top - 09:25:50 up 15 days, 19:09,  0 users,  load average: 0.46, 0.45, 0.41
Tasks: 274 total,   4 running, 211 sleeping,   0 stopped,   0 zombie
Cpu(s):  6.1%us,  2.8%sy,  0.0%ni, 91.0%id,  0.1%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   8015460k total,  4252740k used,  3762720k free,   103768k buffers
Swap:        0k total,        0k used,        0k free,   766860k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
16252 root     -21 -10 72.8g 1.8g 114m R   24 23.6   5584:39 dpdk_master        
16262 root      20   0     0    0    0 S    6  0.0   1170:30 kni_single         
16616 root     -21 -10 72.8g 1.8g 114m S    4 23.6 936:56.19 link_encrypt_0     
16617 root     -21 -10 72.8g 1.8g 114m S    4 23.6 911:30.54 link_encrypt_1     
17205 root     -21 -10 72.8g 1.8g 114m S    4 23.6 963:22.37 esp_0              
17206 root     -21 -10 72.8g 1.8g 114m R    4 23.6 903:22.07 esp_1              
16545 root     -21 -10 72.8g 1.8g 114m S    2 23.6  81:52.53 path_state_fsm     
16614 root     -21 -10 72.8g 1.8g 114m S    2 23.6  73:59.20 link_sch           
17125 root     -21 -10 72.8g 1.8g 114m S    2 23.6  51:48.99 ha_tcp_send        
17208 root     -21 -10 72.8g 1.8g 114m S    2 23.6 113:28.64 ip_common_bh_1     
    1 root      20   0  3124 2460 2052 S    0  0.0   0:01.42 procd              
    2 root      20   0     0    0    0 S    0  0.0   0:00.21 kthreadd           
    4 root       0 -20     0    0    0 I    0  0.0   0:00.00 kworker/0:0H       
    6 root       0 -20     0    0    0 I    0  0.0   0:00.00 mm_percpu_wq       
    7 root      20   0     0    0    0 S    0  0.0   1:42.00 ksoftirqd/0        
    8 root      20   0     0    0    0 I    0  0.0   7:39.04 rcu_sched          
    9 root      20   0     0    0    0 I    0  0.0   0:00.00 rcu_bh             
   10 root      RT   0     0    0    0 S    0  0.0   0:00.25 migration/0        
   11 root      20   0     0    0    0 S    0  0.0   0:00.00 cpuhp/0            
   13 root      20   0     0    0    0 S    0  0.0   0:00.00 cpuhp/1            
   14 root      RT   0     0    0    0 S    0  0.0   0:05.15 migration/1        
   15 root      20   0     0    0    0 S    0  0.0   0:29.74 ksoftirqd/1        
   17 root       0 -20     0    0    0 I    0  0.0   0:00.00 kworker/1:0H       
   18 root      20   0     0    0    0 S    0  0.0   0:00.00 cpuhp/2            
   19 root      RT   0     0    0    0 S    0  0.0   0:00.55 migration/2        
   20 root      20   0     0    0    0 S    0  0.0   0:32.42 ksoftirqd/2        
   22 root       0 -20     0    0    0 I    0  0.0   0:00.00 kworker/2:0H       
   23 root      20   0     0    0    0 S    0  0.0   0:00.00 cpuhp/3            
   24 root      RT   0     0    0    0 S    0  0.0   0:00.48 migration/3        
   25 root      20   0     0    0    0 S    0  0.0   1:38.25 ksoftirqd/3        
   27 root       0 -20     0    0    0 I    0  0.0   0:00.00 kworker/3:0H       
   28 root       0 -20     0    0    0 I    0  0.0   0:00.00 netns              
   34 root      20   0     0    0    0 I    0  0.0   0:14.54 kworker/1:1        
  301 root      20   0     0    0    0 S    0  0.0   0:00.00 oom_reaper         
  302 root       0 -20     0    0    0 I    0  0.0   0:00.00 writeback          
  304 root      20   0     0    0    0 S    0  0.0   0:00.00 kcompactd0         
  305 root      39  19     0    0    0 S    0  0.0   0:00.00 khugepaged         
  306 root       0 -20     0    0    0 I    0  0.0   0:00.00 crypto             
  308 root       0 -20     0    0    0 I    0  0.0   0:00.00 kblockd            
  474 root       0 -20     0    0    0 I    0  0.0   0:00.00 ata_sff            
  498 root       0 -20     0    0    0 I    0  0.0   0:00.00 edac-poller        
  508 root       0 -20     0    0    0 I    0  0.0   0:00.00 watchdogd          
  603 root       0 -20     0    0    0 I    0  0.0   0:00.00 rpciod             
  604 root       0 -20     0    0    0 I    0  0.0   0:00.00 xprtiod            
  642 root      20   0     0    0    0 S    0  0.0   0:00.00 kswapd0            
  723 root       0 -20     0    0    0 I    0  0.0   0:00.00 nfsiod             
  736 root       0 -20     0    0    0 I    0  0.0   0:00.00 pencrypt           
  738 root       0 -20     0    0    0 I    0  0.0   0:00.00 pdecrypt           
  811 root       0 -20     0    0    0 I    0  0.0   0:00.00 acpi_thermal_pm    
  845 root       0 -20     0    0    0 I    0  0.0   0:00.00 nvme-wq            
  867 root      20   0     0    0    0 S    0  0.0   0:00.00 scsi_eh_0          
  868 root       0 -20     0    0    0 I    0  0.0   0:00.00 scsi_tmf_0         
  870 root      20   0     0    0    0 I    0  0.0   0:00.00 kworker/3:2        
  871 root      20   0     0    0    0 S    0  0.0   0:00.00 scsi_eh_1          
  872 root       0 -20     0    0    0 I    0  0.0   0:00.00 scsi_tmf_1         
  875 root      20   0     0    0    0 S    0  0.0   0:00.00 scsi_eh_2          
  876 root       0 -20     0    0    0 I    0  0.0   0:00.00 scsi_tmf_2         
  879 root      20   0     0    0    0 S    0  0.0   0:00.00 scsi_eh_3          
  880 root       0 -20     0    0    0 I    0  0.0   0:00.00 scsi_tmf_3         
  883 root      20   0     0    0    0 S    0  0.0   0:00.00 scsi_eh_4          
  884 root       0 -20     0    0    0 I    0  0.0   0:00.00 scsi_tmf_4         
  887 root      20   0     0    0    0 S    0  0.0   0:00.03 scsi_eh_5          
  888 root       0 -20     0    0    0 I    0  0.0   0:00.00 scsi_tmf_5         
