"USLOD","Hackensack NJ (Commerce Way)","Issac Stern","Pete Wheeler"
"CNSHD","Shanghai (Hongjing Road, Minhang Distric","",""
"SESKE","Skellefte� (Servicegatan)","J�rgen Petersson",""
"AUHOP","Melbourne, VIC (Kilmarnock Ct)","Jack Ung","Jason Ngo (inactive)"
"USPHI","Philadelphia, PA (McNulty Rd)","Kyle Anderson","Chris Kirwan"
"AEINV","Dubai (Dubai Investment Pk 1)","Edward Fernandes","Jose Jomon"
"DEWIE","Wiesbaden (Ostring)","Peter Krause","Peter Krause (Inactive)"
"KRDAG","Daegu (Buk-gu)","Andrea Heo","Ryan Wu"
"CACLG","Calgary, AB (52nd Ave SE)","Marcus Menasce","John Pereira"
"SEHAL","Halmstad (R�rkullsv)","Kjell Johansson (inactive)","Peter Krause (Inactive)"
"NOOSL","Oslo (Str�msveien 179)","Tom Olsen","Amela Buhic"
"CHPRE","Preverenges (Zone Industrielle Le Tresi)","Reto Hossmann (inactive)","Gilles Moreau"
"CNJIA","Jiaxing","",""
"UKSOL","Shirley (Lancaster House)","Glen Lashley","Abdul Basit"
"NOKON","Kongsvinger (Kongeveien 86)","Fred Lund (Inactive)","J�rgen S�tre"
"MXMXB","M�xico, DF (Pelicano)","Luis Lopez","Luis Lopez"
"USELM","Elmhurst, IL (Industrial Dr.)","Kyle Anderson","Chris Kirwan"
"CHKLE","Kleinl�tzel (Laufenstr)","","Shkelzen Ziba"
"FRLIM","Limoges (avenue de l'Abattoir)","",""
"PAPAN","Panama (Edificio Brasil 405)","",""
"FIOUL","Oulu (Isokatu)","Antti Eronen (inactive)","Tuomas S�llinen"
"SEGBG","G�teborg (Arendals All�)","Mikael Rehn","Mikael Rehn"
"PELIM","Lima (Av. Roosevelt 6138 Miraflores)","",""
"NGVIC","Lagos (Bishop Oluwole St)","",""
"NLSCH","Scherpenzeel (Glashorst)","",""
"PTPOR","Porto (Maia) (Travessa S� e Melo)","Javier Mu�oz (inactive)","Jose Luis Gonzalez (inactive)"
"BRSOX","Sao Paulo - SP (Av Ermano Marchetti)","",""
"MYPEN","Kulai (Jalan I-Park 1/1)","Alan San (inactive)","Kenny Cheung (inactive)"
"IEGLW","Galway (Wellpark Rd)","",""
"CAABB","Abbotsford, BC (30840 Peardonville Rd)","Melanie Foster","Lawrence Coles"
"USNSH","Nashville, TN (Dickerson Pike)","Marcus Menasce","John Pereira"
"CNSZX","Shenzhen (Unit 1503, Tian'An Cyber Park ","Henry Wai Ming Yip","Brian Ling"
"USMOO","Monroe (Phil Hargett Ct)","Thomas Woody","Chris Kirwan"
"UKBAS","Basingstoke (Maplewood Crockford Ln)","Zak Barford","John Littley"
"ATWIE","Schwechat","Claudio Catanuta","Arash Mohsen"
"ZAPIN","Pinetown (Gillitts Rd)","",""
"FRLEP","Les Pennes Mirabeau (avenue Lamartine - ","",""
"USDSS","New Haven, CT (110 Sargent Dr)","",""
"USWSS","West Sacramento, CA (National Dr)","Jason Gibson","Chris Kirwan"
"SEGAV","G�vle (Apelgatan)","",""
"AUTOW","Garbutt, QLD North","",""
"ESSFH","San Fernando de Henares (Avenida Castill","Jorge Luj�n","Abdul Basit"
"KRDAN","Ansan (Neunggil-ro)","Justin Na (inactive)",""
"PLZIL","Warszawa (Annopol 24)","Pawel Pelka","Jaroslav Mrazek"
"AUEPP","Epping (Scanlon Drive)","Rebecca Brown (inactive)","Karol Recki"
"VNHOI","Ho Chi Minh City (Binh Dong Ward)","",""
"USLEB","Lebanon (Eastgate Blvd)","",""
"USATT","Attleboro, MA (Townsend Rd)","Jason Gibson","Chris Kirwan"
"FIOUU","Oulu (Krouvintie)","",""
"ZADUR","Pinetown (Escom Rd)","Pat Dix","Tony Petterson"
"KRBUC","Gyeonggi-do (Bucheon)","Andrea Heo","Ryan Wu"
"AUCRA","Melbourne, VIC (Gordon St)","Jack Ung","Jason Ngo (inactive)"
"CNSGG","Shanghai (Building 1-2, Lane 801, Qiangy","Luck Tian","Luck Tian"
"CNVG2","Guangzhou (RENMINZHONG COLOCATION CENTER","",""
"BRGRU","Sao Paulo - SP (Av Ermano Marchetti)","Andre Gurian Bellotti",""
"FIESD","Espoo (Kutojantie)","",""
"USHUT","Houston, TX (Brittmoore Park Dr)","Jason Gibson","Chris Kirwan"
"USAUB","Auburn Hills (Pontiac Road)","Thomas Woody","Chris Kirwan"
"RUMOS","Moscow (Obrucheva Street 36)","Vasiliy Galagan (inactive)","Pavel Hemelik"
"HKKOW","Cheung Sha Wan (Excel Centre)","Wanny Wong (inactive)","Kenny Cheung (inactive)"
"USAUB","Auburn Hills (Pontiac Road)","",""
"USPLE","Pleasant Hill (Metro E. Drive)","Thomas Woody","Chris Kirwan"
"ROBUX","Bucharest (Bulevardul Tudor Vladimirescu","",""
"SEFIN","Kista (Finlandsgatan)","",""
"USKEN","Kent, WA (72nd Ave So)","Donald Conner","Brian Brown"
"USFOR","Fort Lauderdale, FL (Corporate Dr)","",""
"SELKP","Link�ping (Vigfastgatan)","","Amela Buhic"
"NLBRN","Barneveld (Marchandweg 23)","Lex Porsius","Antonio Plas (inactive)"
"USBRS","Bristol, PA (Pearl Buck Rd)","Jason Gibson","Chris Kirwan"
"CZKAR","Prague (Palac Karlin)","",""
"UKLIS","Lisburn (Ferguson Dr)","David Gardner","Steven Eagleton"
"DEBIT","Bitterfeld-Wolfen (Guardianstrasse)","",""
"TRISA","Maltese/Istanbul (Altaycesme Mahallesi)","Lutfu Cakil","Jonathan Heranz (inactive)"
"NZWEB","Alicetown (29 Railway Avenue)","",""
"NOMAJ","Oslo (Vitaminveien)","Fredrik Lundh (Inactive)","J�rgen S�tre"
"USCTT","Huntersville (Bryton Corporate Center Dr","Dale Friese","John Pereira"
"NOOTT","Otta (Storgata)","Kjetil Sagdalen (Inactive)","J�rgen S�tre"
"ATGRA","Graz (Waagner-Biro-Str)","",""
"PLWAR","Warsaw (Ilzecka)","Marta Sikora (inactive)","David Spudich"
"VNHOI","Ho Chi Minh City (31 Ta Hien Street)","",""
