"name","location.u_site_id","u_node_id"
"","AM005","AM005-GSSC-NETBOND (ATT-Uplink-1)"
"","EU902","EU902-GSSC-NETBOND (ATT-Uplink-2)"
"","EU002","EU002-GSSC-NETBOND (ATT-Uplink-1)"
"","AM007","AM007-GSSC-NETBOND (ATT-Uplink-1)"
"","EU002","EU002-GSSC-NETBOND (ATT-Uplink-2)"
"","AP904","AP904-GSSC-NETBOND (ATT-Uplink-2)"
"","AP904","AP904-GSSC-NETBOND (ATT-Uplink-1)"
"","AP001","AP001-GSSC-NETBOND (ATT-Uplink-2)"
"","AP001","AP001-GSSC-NETBOND (ATT-Uplink-1)"
"","AM501","AM501-GSSC-NETBOND (ATT-Uplink-2)"
"","EU902","EU902-GSSC-NETBOND (ATT-Uplink-4)"
"","AM011","AM011-GSSC-NETBOND-E (BRATTNSAO2EQ01VR)"
"","AP003","AP003-GSSC-NETBOND (ATT-Uplink-1)"
"","EU902","EU902-GSSC-NETBOND (ATT-Uplink-5)"
"","AM007","AM007-GSSC-NETBOND (ATT-Uplink-2)"
"","EU901","EU901-GSSC-NETBOND (ATT-Uplink-2)"
"","AM601","AM601-GSSC-NETBOND (ATT-Uplink-2)"
"","EU901","EU901-GSSC-NETBOND (ATT-Uplink-1)"
"","AM501","AM501-GSSC-NETBOND (ATT-Uplink-1)"
"","AM001","AM001-GSSC-NETBOND (ATT-Uplink-1)"
"","AM005","AM005-GSSC-NETBOND (ATT-Uplink-2)"
"","EU902","EU902-GSSC-NETBOND (ATT-Uplink-1)"
"","AM901","AM901-GSSC-NETBOND (ATT-Uplink-2)"
"","EU902","EU902-GSSC-NETBOND (ATT-Uplink-3)"
"","AM011","AM011-GSSC-NETBOND-E (BRATTNSAO1EQ01VR)"
"","EU902","EU902-GSSC-NETBOND (ATT-Uplink-7)"
"","AM601","AM601-GSSC-NETBOND (ATT-Uplink-1)"
"","AM901","AM901-GSSC-NETBOND (ATT-Uplink-1)"
"","EU902","EU902-GSSC-NETBOND (ATT-Uplink-6)"
"","AP003","AP003-GSSC-NETBOND (ATT-Uplink-2)"
"","AM001","AM001-GSSC-NETBOND (ATT-Uplink-2)"
"00270428B328","USWAS","USWAS-AAES-ANIRA (00:27:04:28:B3:28)"
"002704357F94","IDJAK","IDJAK-APAC-ANIRA (00:27:04:35:7F:94)"
"00270436086A","MXMXC","MXMXC-AAES-ANIRA (00:27:04:36:08:6A)"
"002704366756","FRVIL","FRVIL-EMEA-ANIRA (00:27:04:36:67:56)"
"002704366D46","BEMEL","BEMEL-AAES-ANIRA (00:27:04:36:6D:46)"
"002704366E9A","AUYEN","AUYEN-AAES-ANIRA (00:27:04:36:6E:9A)"
"002704366F58","LVRIG","LVRIG-EMEA-ANIRA (00:27:04:36:6F:58)"
"002704366FD0","FRSAJ","FRSAJ-AAES-ANIRA (00:27:04:36:6F:D0)"
"00270436796C","VNHCM","VNHCM-AAES-ANIRA (00:27:04:36:79:6C)"
"00270437A3F9","PTSEG","PTSEG-EMEA-ANIRA (00:27:04:37:A3:F9)"
"00270437C16D","VNVIN","VNVIN-APAC-ANIRA (00:27:04:37:C1:6D)"
