"name","u_node_id","ip_address","hardware_status","operational_status"
"00270428B328","USWAS-AAES-ANIRA (00:27:04:28:B3:28)","10.13.90.1","Installed","Operational"
"002704357F94","IDJAK-APAC-ANIRA (00:27:04:35:7F:94)","10.34.83.1","Installed","Operational"
"00270436086A","MXMXC-AAES-ANIRA (00:27:04:36:08:6A)","10.17.78.248","Installed","Operational"
"002704366756","FRVIL-EMEA-ANIRA (00:27:04:36:67:56)","10.34.209.251","Installed","Operational"
"002704366D46","BEMEL-AAES-ANIRA (00:27:04:36:6D:46)","10.70.44.3","Installed","Operational"
"002704366E9A","AUYEN-AAES-ANIRA (00:27:04:36:6E:9A)","10.34.81.3","Installed","Operational"
"002704366F58","LVRIG-EMEA-ANIRA (00:27:04:36:6F:58)","10.244.132.1","Installed","Operational"
"002704366FD0","FRSAJ-AAES-ANIRA (00:27:04:36:6F:D0)","10.154.22.1","Installed","Operational"
"00270436796C","VNHCM-AAES-ANIRA (00:27:04:36:79:6C)","10.34.53.1","Installed","Operational"
"00270437A3F9","PTSEG-EMEA-ANIRA (00:27:04:37:A3:F9)","10.154.83.251","Installed","Operational"
"00270437C16D","VNVIN-APAC-ANIRA (00:27:04:37:C1:6D)","10.103.196.3","Installed","Operational"
"00270437C4FB","CZPRH-HOSP-ANIRA (00:27:04:37:C4:FB)","10.34.84.1","Installed","Operational"
"00270437C659","UKOLN-HOSP-ANIRA (00:27:04:37:C6:59)","10.239.231.232","Installed","Operational"
"00270437C7B7","FIRAH-EMEA-ANIRA (00:27:04:37:C7:B7)","10.34.85.1","Installed","Operational"
"00270437CD61","CZBRN-AAES-ANIRA (00:27:04:37:CD:61)","10.249.148.1","Installed","Operational"
"00270437D7E3","EETAL-EMEA-ANIRA (00:27:04:37:D7:E3)","10.251.92.1","Installed","Operational"
"00270437DBC1","BGVAR-EMEA-ANIRA (00:27:04:37:DB:C1)","10.16.160.1","Installed","Operational"
"00270437DC1B","SEGOT-EMEA-ANIRA (00:27:04:37:DC:1B)","10.34.151.1","Installed","Operational"
"00270437DEAF","PTAGU-EMEA-ANIRA (00:27:04:37:DE:AF)","10.104.136.251","Installed","Operational"
"00270437DF27","UKNEW-EMEA-ANIRA (00:27:04:37:DF:27)","10.103.144.3","Installed","Operational"
"00270437DF4F","UKLIS-EMEA-ANIRA (00:27:04:37:DF:4F)","10.248.252.252","Installed","Operational"
"00270437E337","UKERD-EMEA-ANIRA (00:27:04:37:E3:37)","10.103.60.3","Installed","Operational"
"00270437E9BD","AUMON-HOSP-ANIRA (00:27:04:37:E9:BD)","10.248.108.3","Installed","Operational"
