"Rynek";"Data operacji";"Rodzaj";"Typ";"Kurs";"Ilość";"Wartość";"ID"
"NEU-PLN";"2022-10-12 15:13:48";"Sprzedaż";"Maker";"0,24";"308,00000000";"72,69";"b5131bc0-4a2f-11ed-84b0-0242ac11000c"
"NEU-PLN";"2022-10-12 14:50:48";"Sprzedaż";"Maker";"0,22";"150,00000000";"33,75";"7f1d3453-4a2c-11ed-84b0-0242ac11000c"
"NEU-PLN";"2022-10-12 10:49:52";"Sprzedaż";"Maker";"0,22";"158,23427463";"34,34";"d6280aec-4a0a-11ed-84b0-0242ac11000c"
"NEU-PLN";"2022-10-07 12:31:17";"Kupno";"Maker";"0,21";"952,38095238";"200,00";"2d488aad-462b-11ed-84b0-0242ac11000c"
"NEU-PLN";"2022-10-07 12:31:17";"Kupno";"Maker";"0,22";"282,55813953";"60,75";"2d488a9c-462b-11ed-84b0-0242ac11000c"
"NEU-PLN";"2022-10-06 12:05:12";"Sprzedaż";"Maker";"0,25";"311,01232165";"76,82";"5e31fd2d-455e-11ed-84b0-0242ac11000c"
"NEU-PLN";"2022-10-06 12:04:42";"Sprzedaż";"Maker";"0,25";"777,77777777";"192,11";"4c678b47-455e-11ed-84b0-0242ac11000c"
"NEU-PLN";"2022-10-06 12:04:35";"Sprzedaż";"Maker";"0,25";"89,82513899";"22,19";"47b303c6-455e-11ed-84b0-0242ac11000c"
"NEU-PLN";"2022-10-05 11:03:33";"Kupno";"Maker";"0,22";"55,16279069";"11,86";"96eeb582-448c-11ed-84b0-0242ac11000c"
"NEU-PLN";"2022-10-05 10:35:37";"Kupno";"Maker";"0,22";"135,85717144";"29,89";"afdf957f-4488-11ed-84b0-0242ac11000c"
"NEU-PLN";"2022-10-05 10:28:59";"Kupno";"Maker";"0,22";"91,41555583";"20,11";"c2d3d6b2-4487-11ed-84b0-0242ac11000c"
"NEU-PLN";"2022-10-05 10:11:50";"Kupno";"Taker";"0,22";"900,90090090";"200,00";"5d71c6bd-4485-11ed-84b0-0242ac11000c"
"NEU-PLN";"2022-10-05 10:10:06";"Sprzedaż";"Taker";"0,22";"1019,90148876";"227,44";"1f12862c-4485-11ed-84b0-0242ac11000c"
"NEU-PLN";"2022-10-05 10:10:06";"Sprzedaż";"Taker";"0,23";"60,00000000";"13,80";"1f12862b-4485-11ed-84b0-0242ac11000c"
"NEU-PLN";"2022-10-05 10:08:32";"Kupno";"Taker";"0,24";"144,81632653";"35,48";"e7269282-4484-11ed-84b0-0242ac11000c"
"NEU-PLN";"2022-10-05 10:08:32";"Kupno";"Taker";"0,24";"60,00000000";"14,52";"e7269281-4484-11ed-84b0-0242ac11000c"
"NEU-PLN";"2022-10-05 09:53:40";"Kupno";"Taker";"0,22";"444,44444444";"100,00";"d3d6cc3e-4482-11ed-84b0-0242ac11000c"
"NEU-PLN";"2022-10-05 09:39:36";"Kupno";"Taker";"0,23";"315,30434782";"72,52";"dccf9e93-4480-11ed-84b0-0242ac11000c"
"NEU-PLN";"2022-10-05 09:39:36";"Kupno";"Taker";"0,23";"120,00000000";"27,48";"dccf9e92-4480-11ed-84b0-0242ac11000c"
